StudentID,Name,Math,Science,English,History
1001,Alice Johnson,88,86,84,84
1002,Bob Smith,75,79,88,65
1003,Charlie Brown,68,72,99,95
1004,Diana Prince,70,65,73,91
1005,Ethan Hunt,100,83,86,65
1006,Fiona Wells,66,76,86,92
1007,George Kim,81,77,83,87
1008,Hannah Lee,86,78,71,90
1009,Ian Carter,72,75,86,73
1010,Julia Wong,99,86,88,88
1011,Kevin Adams,80,75,88,96
1012,Laura Hill,76,82,84,69
1013,Michael Scott,70,82,80,70
1014,Nancy Drew,100,91,83,81
1015,Oliver Queen,86,89,77,84
1016,Paul Walker,86,86,90,75
1017,Quincy Jones,88,69,66,88
1018,Rachel Green,93,71,98,88
1019,Steve Rogers,86,98,69,78
1020,Tony Stark,71,99,75,91
1021,Ursula Blake,77,84,100,65
1022,Victor Stone,79,81,68,70
1023,Wendy Marvel,100,77,88,91
1024,Xander Cage,85,92,73,72
1025,Yvonne Strahovski,71,100,79,95
1026,Zach Taylor,71,92,86,97
1027,Amy Santiago,76,71,73,72
1028,Ben Wyatt,96,90,81,97
1029,Carla Espinosa,87,96,76,84
1030,David Nolan,99,95,90,84
1031,Edward Cullen,78,65,74,85
1032,Felicia Hardy,87,95,75,96
1033,Gregory House,81,80,70,65
1034,Helen Parr,99,96,74,91
1035,Isaac Newton,95,71,70,81
1036,Jack Sparrow,83,80,84,66
1037,Kara Danvers,75,96,85,71
1038,Leonard Hofstadter,69,96,73,70
1039,Monica Geller,80,77,96,89
1040,Nathan Drake,97,76,95,97
1041,Edward Cullen,91,84,68,90
1042,Felicia Hardy,74,82,70,79
1043,Gregory House,73,98,88,69
1044,Helen Parr,71,78,100,84
1045,Isaac Newton,73,74,67,84
1046,Jack Sparrow,78,92,95,79
1047,Kara Danvers,73,66,94,90
1048,Leonard Hofstadter,97,96,99,93
1049,Monica Geller,99,81,83,69
1050,Nathan Drake,79,96,90,82
1051,Ophelia Watson,70,99,76,100
1052,Peter Parker,99,96,83,83
1053,Quinn Fabray,76,95,98,79
1054,Ron Weasley,90,92,84,95
1055,Samantha Carter,76,86,91,71
1056,Thomas Shelby,79,92,67,94
1057,Uma Thurman,99,93,86,65
1058,Violet Baudelaire,70,70,75,77
1059,Walter White,88,73,95,99
1060,Xena Warrior,71,88,90,92
1061,Yosef Anderson,68,83,92,99
1062,Zelda Fitzgerald,88,75,75,66
1063,Adam Jensen,90,70,70,97
1064,Barbara Gordon,75,83,76,92
1065,Caleb Rivers,66,70,94,68
1066,Daphne Blake,100,83,85,78
1067,Elliot Alderson,69,95,100,91
1068,Francis Underwood,96,92,88,98
1069,Ginny Weasley,70,80,79,76
1070,Harley Quinn,83,88,97,79
